,lon,lat,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,main_type,capacity,price,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
0,-122.2964147,47.66231092,2,350003,0,350,#807 Tutta Bella,#807 Tutta Bella,2746 NE 45TH ST,98105,Seattle,(206) 722-6400,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
1,-122.3315913,47.59543996,3,350004,0,350,Levy Restaurants @ Lumen Field (Cart #9; Kc919),Levy Restaurants @ Lumen Field,800 OCCIDENTAL AVE S,98134,Seattle,(206) 808-8310,Mobile Food Unit,I,quick service,15.611973826245231,20.0, , , , ," 
"
2,-122.3317269,47.62902129,6,350008,0,350,100 Lb Clam,100 Lb Clam,1001 FAIRVIEW AVE N Unit 1700A,98109,Seattle,(206) 369-2978,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
3,-122.338223,47.60653938,8,350010,0,350,1000 Spirits,1000 Spirits,1225 1ST AVE,98101,Seattle,(206) 612-2660,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
4,-122.3412693,47.62912943,10,350012,0,350,1101 Westlake Ave N 2Nd Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
5,-122.3412693,47.62912943,11,350013,0,350,1101 Westlake Ave N 3Rd Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
6,-122.3412693,47.62912943,12,350014,0,350,1101 Westlake Ave N 4Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
7,-122.3412693,47.62912943,13,350015,0,350,1101 Westlake Ave N 5Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
8,-122.3412693,47.62912943,14,350016,0,350,1101 Westlake Ave N 6Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
9,-122.3541919,47.49865737,16,350018,0,350,116 Two Zero; Llc. / Salmon Creek Cafe,Salmon Creek Cafe Inc.,11620 AMBAUM BL SW,98146,Seattle,(760) 985-6579,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
10,-122.3453077,47.71931545,18,350020,0,350,125Th St Grill,125Th St Grill,12255 AURORA AVE N,98133,Seattle,(206) 363-8950,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
11,-122.295768,47.4415898,19,350021,0,350,13 Coins,13 Coins,18000 PACIFIC HWY S,98188,Seattle,(206) 243-9500,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
12,-122.3310251,47.59788682,21,350023,0,350,13 Coins Restaurant,13 Coins Restaurant,255 S KING ST,98104,Seattle,(206) 382-1313,Seating 151-250,III,restaurant,201.0,34.25, , , , ," 
"
13,-122.3261015,47.63985981,22,350024,0,350,14 Carrot Cafe,14 Carrot Cafe,2305 EASTLAKE AVE E,98102,Seattle,(206) 324-1442,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
14,-122.3335775,47.59217444,23,350025,0,350,141 Hot Dog,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I,restaurant,6.0,34.25, , , , ," 
"
15,-122.3509469,47.66842021,24,350026,0,350,1899 Grove @ Woodland Park Zoo,1899 Grove @ Woodland Park Zoo,5500 PHINNEY AVE N,98103,Seattle,(206) 545-2042,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
16,-122.3503134,47.65169662,25,350027,0,350,19 Gold,19 Gold,3601 FREMONT AVE N STE 101,98103,Seattle,(206) 883-6870,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
