Unnamed: 0,lon,lat,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,main_type,capacity,price,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
1547,-122.3587102,47.69170219,3309,353311,0,350,Fred Meyer #122 Starbucks,Fred Meyer #122,100 NW 85TH ST,98117,Seattle,(206) 276-0010,Seating 13-50,II,restaurant,27.0,34.25, , , , ," 
"
4663,-122.3763492,47.6908834,9830,359834,0,350,Walgreens #06389,Walgreens #06389,8500 15TH AVE NW,98117,Seattle,(847) 914-5412,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
1440,-122.3426943,47.62889775,3044,353046,0,350,Facebook Inc- 6Th Floor,Facebook Inc,1101 DEXTER AVE N,98109,Seattle,(650) 507-5659,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
4439,-122.3315931,47.59543814,9406,359410,0,350,Traditional Ice Cream 2D03  (124),Levy Restaurants @ Lumen Field,800 OCCIDENTAL AVE S,98134,Seattle,(206) 808-8302,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
3638,-122.3429114,47.661252,7793,357797,0,350,Seattle Meowtropolitan,Seattle Meowtropolitan,1225 N 45TH ST,98103,Seattle,(206) 499-9628,Seating 13-50,I,restaurant,27.0,34.25, , , , ," 
"
974,-122.3460152,47.62549232,2046,352048,0,350,Citizen,Citizen,706 Taylor AVE N,98109,Seattle,(206) 251-2888,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
4639,-122.3554092,47.50837199,9776,359780,0,350,Viva Mexico #2,Viva Mexico #2,10601 S 16th AVE SW,98146,Seattle,(206) 431-0830,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3669,-122.2882935,47.56559154,7831,357835,0,350,Selva Central Goods,Selva Central Goods,4116 RAINIER AVE S,98118,Seattle,(951) 537-7984,Bakery-no seating,II,quick service,15.611973826245231,20.0, , , , ," 
"
4827,-122.3134034,47.66015578,10185,360189,0,350,Yumbit (Kc298) @425-623-8958,Yumbit (Kc298),720 SENECA ST,98101,Seattle,(425) 623-8958,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
1256,-122.3211959,47.55310789,2640,352642,0,350,Donburi Station,Donburi Station,5503 AIRPORT WAY S,98108,Seattle,(425) 679-9412,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
