,Census Tract 25,Census Tract 26,Census Tract 56,Census Tract 68,Census Tract 60,Census Tract 59,Census Tract 57,Census Tract 49,Census Tract 58.01,Census Tract 48,Census Tract 47,Census Tract 32,Census Tract 35,Census Tract 34,Census Tract 33,Census Tract 28,Census Tract 29,Census Tract 30,Census Tract 31,Census Tract 17.01,Census Tract 17.02,Census Tract 16,Census Tract 15,Census Tract 2,Census Tract 27,Census Tract 22,Census Tract 24,Census Tract 20,Census Tract 21,Census Tract 19,Census Tract 18,Census Tract 9,Census Tract 13,Census Tract 11,Census Tract 10,Census Tract 12,Census Tract 8,Census Tract 6,Census Tract 7,Census Tract 1,Census Tract 3,Census Tract 41,Census Tract 52,Census Tract 51,Census Tract 53.01,Census Tract 50,Census Tract 42,Census Tract 43.01,Census Tract 43.02,Census Tract 40,Census Tract 44,Census Tract 45,Census Tract 46,Census Tract 36,Census Tract 39,Census Tract 38,Census Tract 14,Census Tract 4.02,Census Tract 4.01,Census Tract 78,Census Tract 92,Census Tract 88,Census Tract 87,Census Tract 86,Census Tract 85,Census Tract 81,Census Tract 82,Census Tract 83,Census Tract 84,Census Tract 79,Census Tract 75,Census Tract 77,Census Tract 73,Census Tract 74.02,Census Tract 76,Census Tract 74.01,Census Tract 63,Census Tract 62,Census Tract 65,Census Tract 66,Census Tract 64,Census Tract 67,Census Tract 61,Census Tract 54,Census Tract 53.02,Census Tract 117,Census Tract 118,Census Tract 264,Census Tract 265,Census Tract 110.02,Census Tract 110.01,Census Tract 111.02,Census Tract 111.01,Census Tract 102,Census Tract 103,Census Tract 104.01,Census Tract 104.02,Census Tract 93,Census Tract 100.01,Census Tract 101,Census Tract 95,Census Tract 100.02,Census Tract 94,Census Tract 89,Census Tract 90,Census Tract 91,Census Tract 121,Census Tract 120,Census Tract 114.02,Census Tract 116,Census Tract 113,Census Tract 115,Census Tract 114.01,Census Tract 108,Census Tract 107.01,Census Tract 106,Census Tract 107.02,Census Tract 105,Census Tract 99,Census Tract 97.02,Census Tract 97.01,Census Tract 98,Census Tract 96,Census Tract 80.01,Census Tract 80.02,Census Tract 72,Census Tract 71,Census Tract 58.02,Census Tract 70,Census Tract 69,Census Tract 260.01,Census Tract 5,Census Tract 109,Census Tract 112,Census Tract 119
Food Accessibility without Delivery restaurant,0.023958147546549673,0.022802853154522736,0.020174865306080182,0.022123756433756435,0.021562902035011943,0.02057100052242206,0.020478559679883507,0.020339852690902663,0.019854877009618823,0.019991241026022205,0.02120043158266746,0.021660661393331736,0.01928761482076673,0.019362625868403798,0.02047537327045851,0.019746128429190647,0.019651837074981283,0.01997722464535126,0.020668962620832534,0.020222829235500617,0.020074655518881337,0.02052002524663657,0.020435636301552387,0.022532286823816063,0.021306150039051164,0.027126492619842846,0.027020763889279303,0.024085206533326794,0.025751367005727232,0.023027595687120206,0.020652022664102127,0.024036719553534258,0.021590286368241757,0.02415341456484322,0.023454373181875522,0.026681951811520707,0.022278238728093345,0.02410204617462513,0.02113945341180676,0.020045343028451647,0.026480023939539535,0.02207138806851086,0.02048191821891352,0.020309214871069084,0.02101251866294028,0.020565177929175126,0.021990518380210104,0.022043341674922196,0.02177051427994949,0.024448010025002312,0.02164193679772579,0.02068036240955954,0.020058396857744017,0.021505891721319368,0.024294890549549288,0.02375674384447033,0.02131795885576129,0.023953513892744603,0.032436278834152836,0.02804473063952528,0.028202533273793056,0.027596844788252816,0.02787478342226172,0.028362543250142636,0.02875770232527108,0.02888142016001795,0.02897898751349141,0.028548413164689423,0.02820768755170194,0.028396557274920735,0.028135641124699014,0.028479988840050215,0.02680899169371985,0.02790132496951431,0.028228469070710024,0.027294026850981038,0.026788890103459445,0.024728220918506957,0.026288669666345774,0.025491982935524505,0.027318214612054487,0.023445696197782365,0.022834289643757937,0.021064884218264638,0.02164464473145468,0.022007011331352674,0.019963977116286297,0.020498512217330594,0.020618515286157248,0.025157220700876955,0.028265919760709704,0.02658395580256475,0.028512728536392924,0.026653109913138906,0.02694757571121456,0.02504347382470479,0.02296791273557608,0.023324549330648592,0.022779954623276644,0.023203547344122694,0.023649522258115206,0.023449873287989188,0.02548475551799949,0.026231485887048673,0.026778413893268425,0.027408245252994904,0.01806538016599668,0.016916262423920025,0.01661755479921477,0.019442489548397387,0.02023210855061788,0.019117766440262564,0.019213020327385966,0.023490174420857348,0.023911944601133467,0.029133591426744952,0.026245768042357735,0.032450258462920004,0.026890116116316115,0.033317524820185775,0.03564338861149494,0.03030842355976497,0.02936591961678664,0.025286652404483568,0.026880906930667334,0.025632162267747338,0.022593037958692656,0.020938050860583566,0.02224449169658817,0.02132562657306117,0.01563534798179386,0.030181790687378068,0.02148410124606773,0.020598862976104765,0.016535016298103014
Food Accessibility with only Delivery restaurant,0.017631413143610494,0.018620731711722946,0.02385468147501697,0.03047108551779344,0.027874532906110135,0.024651545598446616,0.019703706221529345,0.023025877885949796,0.021294334085576017,0.022582989812259986,0.020687502913283414,0.015413078383429282,0.022312691078411606,0.019349397096494792,0.01882590432881356,0.021860469243873554,0.02207329189028018,0.019087629633010226,0.015943293040564056,0.022225741865403346,0.021330133470525633,0.020563015812456103,0.02097195859291146,0.028416368022261253,0.018405720970322285,0.017205829841002718,0.01918524226794724,0.015961937567745832,0.016490570865999143,0.018483383894020346,0.018161232042013413,0.021312490097089777,0.0201180721377297,0.017773991606967948,0.016783383711484624,0.021013064707237093,0.030038561790965087,0.02230942992699097,0.020951009711055638,0.02937990561366848,0.02486069856003629,0.022829996219543364,0.02588729271343935,0.025560439571973827,0.026283602709347535,0.025944095229092197,0.019991478630708742,0.021449581331783707,0.02797960000864546,0.02395230996298956,0.026252111787864567,0.024798403605595418,0.0240329992616962,0.02393238600990385,0.01910763634135833,0.019320445401089993,0.02407865552890871,0.01735777444729902,0.02173110902234182,0.03147028513242087,0.0211448409752082,0.03309518704308065,0.02469694228753288,0.020834619333088226,0.015331143236325019,0.01985084048330455,0.016586506069791798,0.015733424416843722,0.018646178142502606,0.02556081866789283,0.019941862119220315,0.031921754835287384,0.01981894584924315,0.016716575102390753,0.026899362961472793,0.01961165077173429,0.029707773728572518,0.028207480932140604,0.028867934375948916,0.02850904513775357,0.02931501462237889,0.032804272100229674,0.030107840668123335,0.026459193515945202,0.029545071208055294,0.015110375957096155,0.016300724194705473,0.014764487156664551,0.01411001636268206,0.01752061217979576,0.013732746950456091,0.012623777619521428,0.014145518474386604,0.01626956236233545,0.01983252628799129,0.020998933180615128,0.02604489652090452,0.0310335057065859,0.02984644152847677,0.026085699581658326,0.030964765891927898,0.03199060317199836,0.035904521854482674,0.03504320572478091,0.028306822355958224,0.02461190704550162,0.015774003960918447,0.019054350981891028,0.017483650989334344,0.025734194982638788,0.017441376003713725,0.02437502916264847,0.021987137102887255,0.022443753065889974,0.022193993303161026,0.021984462074582073,0.02120621873598674,0.026250560721948403,0.027676650104846556,0.02796526251851236,0.027201285912983035,0.02792107739945051,0.030642068708053836,0.028523683464576188,0.018499070450354618,0.02361359633729076,0.031629338602795834,0.025912486333587007,0.034677116423219086,0.030596094382022192,0.01829201848948732,0.020726003892378473,0.024881039131468424,0.019166552213058304,0.019088691955649224
Food Accessibility without Delivery others,5.532005530375718e-05,5.532005530375718e-05,7.730336282070108e-05,8.275239704441907e-05,7.3411685131121e-05,7.347086005231714e-05,7.13919531296102e-05,6.673886943214604e-05,6.930733063419399e-05,6.766450666588696e-05,6.490682993887052e-05,5.532005530375718e-05,6.206479929489613e-05,6.272390958434899e-05,6.392123276009271e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,0,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,0,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,0,0,0,0,0,7.811740800938143e-05,6.564674858812168e-05,6.506816606775037e-05,6.70952338593651e-05,6.537515810316368e-05,7.248298084125366e-05,6.886367992825752e-05,6.874769618198516e-05,5.532005530375718e-05,6.676915296507062e-05,6.560498936521183e-05,6.514800997059547e-05,6.115792705349544e-05,5.532005530375718e-05,5.532005530375718e-05,5.532005530375718e-05,0,0,0.00012741564359700997,0.00013133279695827426,0.00013268302422221964,0.00013292940151818694,0.00012861097111127042,0.00012717781586995357,0.00012346752565722642,0.00011978302270927295,0.00011988329570723418,0.00011974991853496258,0.00012445853335428945,0.00011618262652039999,0.00012014876760442826,0.00011034378440228772,0.00011356051992358813,0.00011306995624283063,0.00010667847573584965,0.00010076330372391394,8.63379109070802e-05,9.083136310348602e-05,8.533561867828918e-05,0.00010198651230634589,8.623242613061998e-05,6.870108431732641e-05,6.558205754159098e-05,7.070322604371064e-05,0.00015431024153319417,0.00015263913515030212,0.00036252303636139253,0.0003590622506496859,0.00016010843329456088,0.00015925864382251273,0.00015236868945245279,0.00015838347810518668,0.0001513692977886424,0.000154114400966483,0.00015580667160177737,0.0001573894911485901,0.00015523459970493347,0.00015369277700656535,0.00015111032078609133,0.00014412122671110002,0.00015034927844428118,0.00014294877109053843,0.0001373642530212405,0.00013647327972083332,0.00013463471410947206,0.0006583404820625915,0.00047580915846873385,0.0003024409046652151,0.00019321139740204995,0.00022863303295254892,0.0001888841255853515,0.00022121473588794063,0.00017309203632045024,0.00018491470030096535,0.0001987669493520877,0.00019087017655920773,0.00019968351341314764,0.00017513250522980682,0.00019437141923025927,0.0001960395985287246,0.000191679853777594,0.00017275870086329374,0.0001156253659697397,0.00011885522098752893,0.00011055932328198985,0.00010707062882903689,8.768105057926013e-05,9.761153559043253e-05,8.77465566390354e-05,0,0,0.00016101863379528727,0.00021911940235359216,0
Food Accessibility with only Delivery others,5.828769749504801e-05,5.8287697495048006e-05,8.011191725649274e-05,0.0001241382043732622,0.0001246937180028469,7.655496178883645e-05,7.42432869742268e-05,0.00012472016577967377,7.217375037585329e-05,7.073095463107191e-05,6.780509501491147e-05,5.828769749504801e-05,6.498363144328783e-05,6.563797191470968e-05,6.682663035897524e-05,5.8287697495048006e-05,5.828769749504801e-05,5.8287697495048006e-05,5.828769749504801e-05,5.828769749504802e-05,5.828769749504802e-05,5.828769749504801e-05,5.8287697495048006e-05,0,5.828769749504801e-05,5.828769749504801e-05,5.828769749504801e-05,5.828769749504801e-05,5.8287697495048006e-05,5.828769749504801e-05,5.828769749504801e-05,0,5.828769749504801e-05,5.828769749504801e-05,5.828769749504802e-05,5.828769749504801e-05,0,0,0,0,0,8.156363250006916e-05,0.00012745114103456597,0.00012642903415969103,7.02371150326583e-05,0.00012559902889410456,7.577487662343936e-05,7.205640102320605e-05,7.193432529304628e-05,5.8287697495048006e-05,6.990622512357815e-05,6.870781756310458e-05,6.822554754973842e-05,6.408332201184181e-05,5.828769749504801e-05,5.828769749504801e-05,5.8287697495048006e-05,0,0,0.00010535447193721107,0.0001313616903191494,0.00011434408463739958,0.00011670747596285571,0.00011561628198092656,0.00012182212066162663,0.00012199483502455487,0.00011049168289669992,0.00010540672547326954,9.988265765342522e-05,9.616365190734253e-05,8.609702489542121e-05,9.95703720761486e-05,0.00010727931595985819,8.547744054085212e-05,7.608933676627076e-05,0.00014650976746861008,0.00010354774509317496,0.0001316224891095026,0.00012912306000438916,0.0001272236432828698,0.000132453756297647,0.0001249716644011753,0.000127962941920812,0.00012549020267142998,7.392953110809778e-05,0.0001400141761888472,0.00013968497448514663,0.00035696377829960463,0.00035393270065476565,0.00014994194378295915,0.00014905582465272392,0.00014049930202081795,0.00014818843479301225,0.0001406896751364878,0.00014440114793925506,0.0001454728937212217,0.00015074534934343562,0.00015723882566082332,0.00014266047247279615,0.00014243031878817726,0.00013887448027276994,0.00014456434424827365,0.00013069312522171275,0.00012373690640249619,0.00012961226807731106,0.00013014537740525773,0.0006601760384773444,0.0004781590308341464,0.0003008685346680603,0.00019531088367523335,0.00022365491821856948,0.00018933980435246995,0.00021922030990414738,0.0001915059769382332,0.0001397613226458765,0.00014006393667596596,0.00013938632126191968,0.0001383809554057856,0.00012836701994990991,0.0001360569897345273,0.0001998780895164283,0.00013639527300790942,0.00017159023699875287,0.00011580212913540845,0.0001233784711434739,0.00010665587600297253,0.00010086404335091692,8.916266285265538e-05,9.909507116260425e-05,8.943004070211067e-05,0,0,0.00015193618919145417,0.0002115543595210777,0
Food Accessibility without Delivery grocery,0.002900960566103923,0.002872706572391234,0.0037710993384647644,0.0034382267370583566,0.0033348311331580856,0.0033586541858579076,0.0038916206909813647,0.0031048144727513433,0.003543118060592531,0.0031397019995214456,0.003288521233439397,0.0036482278669875794,0.0029985809522030333,0.003094649850063542,0.0032711057773234216,0.0029876768480514284,0.003086307748957376,0.0032284247796827413,0.0034640687636916996,0.0030577453303963576,0.0031319860453709,0.003255435272590889,0.0033863817696185875,0.003316171325417077,0.0028969955448202253,0.00299518108368422,0.0029669712681557325,0.002975086665904383,0.0029920300430191053,0.002984155437293514,0.0029795154946301713,0.0031069064088357426,0.003056849237454596,0.003142984954404996,0.003125710189532185,0.003133072725166979,0.003159599058032251,0.0031907054087454774,0.0032534749105768515,0.0032842408401984684,0.0032597073309749086,0.0029672518450081257,0.0029483488778391078,0.0030131372577830453,0.0028641123385394983,0.0030161623939363117,0.002948370479891937,0.0028740625224547307,0.0028652064035657016,0.0029633419417436913,0.002844853867479719,0.0028688415260908658,0.0029220973726151777,0.0028456662744786735,0.002960369923937552,0.0029170473160937678,0.003146121326330437,0.0031376155124751485,0.003208578612940033,0.0035541716388616945,0.003570021156822139,0.0035533538424565884,0.003564452720552239,0.0035880058846338957,0.003592899347698878,0.0036116721784314907,0.0036127292846839924,0.00361099057069846,0.003608525424723416,0.003606869946744216,0.003599118021220595,0.0035837958062083872,0.0035748028915272797,0.003591337813177232,0.0035956702682287214,0.0035611004261891246,0.0034013946519039673,0.0033602533042003963,0.0034959375517066853,0.003468773167380084,0.0035382666112114824,0.003455523289479607,0.003263116613371879,0.0031700817926065116,0.0029715655894228424,0.00312480256296533,0.0030522163585994275,0.004077297034934061,0.004062885663845637,0.0029783589388054322,0.002965682804815512,0.0029453847987186855,0.0029652767937121552,0.002853185818643069,0.0029011715974274167,0.0029024454651320327,0.002933047459762702,0.003160257871725469,0.0029822400538705033,0.002968263263731494,0.003161425451833286,0.003077501896201565,0.0032919329321971667,0.0034130592066573826,0.003479968087606301,0.003522887607827116,0.004675619003204218,0.004436914155440323,0.004096307356826914,0.003968172006331211,0.0036572661456529955,0.0039106678191696345,0.003812032609840055,0.003528424329054305,0.0037972629309655226,0.0038991404171147557,0.0038622820848359606,0.0038541863520983404,0.003511925895321601,0.0038141033813408162,0.0038461218586163665,0.0037629533796116068,0.0037425648664496038,0.0035897662885973868,0.003608821685980481,0.0035735765595680856,0.0035502940027701906,0.00351348493484732,0.003506152337326352,0.0034768127036374015,0.003358648396628615,0.0031840351280728522,0.003109300851932314,0.0034233738928615646,0.00332894928958494
Food Accessibility with only Delivery grocery,0.003153081649011438,0.0033424105156753398,0.003370271569629441,0.0033759883385639858,0.003356967285000297,0.0033863197770600895,0.0031605290603852754,0.003260536451001574,0.0032834129442392596,0.0032952969479350764,0.0034028968042000055,0.0030864508787634567,0.0032782215513652035,0.0032239340129523444,0.0031207099421979114,0.0030900647553199403,0.003105591667634908,0.0033053497508749217,0.0031216952308064407,0.003121136847611884,0.003147546820318325,0.00328990605887328,0.003401856343757522,0.0031345459588252513,0.0031621387467433,0.003111177691662016,0.0029974726485595604,0.0032809937975162187,0.0030586284493032113,0.0031326242221654415,0.003248377071024142,0.0034332769404747236,0.003211236379848567,0.0030195365327431965,0.0029791378886022866,0.0029405912522947114,0.002975540924349424,0.0030283987811762286,0.00305316359683695,0.00344200247675219,0.0034737542699722073,0.0029739745409086893,0.003311702555365875,0.003283613352324599,0.0032720057385140972,0.003274658771332954,0.003114096301406968,0.003217929546819844,0.0032347021372153254,0.002919962730359244,0.00326308329309414,0.0033401552002723647,0.0033824850784141716,0.003259971147233176,0.002937209419025312,0.0032485062718519524,0.0032467674356410157,0.0034649825898417346,0.003634718394144425,0.003385497605345251,0.003300385640955968,0.0032783882147450903,0.00324550451507331,0.0031505772333114425,0.003203932802069839,0.00325250783467579,0.0030532819454250006,0.0028636484712744846,0.0028518358318749006,0.0032946569108019234,0.0029420691974820917,0.0033093569060907713,0.002769411386137519,0.0028511545908592203,0.003338751959567329,0.0028420876822248214,0.003306295316418215,0.0031877225080039076,0.003313426652169874,0.00325933051773966,0.003306831527661687,0.003339572006723555,0.0032932329373182075,0.0033119776980190083,0.003227672351693971,0.003930768019683697,0.0037477332691544752,0.004274169087209021,0.004336869022175528,0.003451756060820009,0.0029555936893280827,0.0028009903677105475,0.0028955825618334086,0.00307613928017053,0.0031742720189048535,0.0031316255535687224,0.003231607545537928,0.003599844413331865,0.0035259104457582664,0.00312479462391316,0.003318069516996022,0.0035583949359924696,0.0034652965507409894,0.0033862687138806113,0.003334871014742656,0.0033498310940550335,0.004789398837396333,0.0045439277749838285,0.004298639062760965,0.004040540043981828,0.004134330044321079,0.00395761083588396,0.003368721203513106,0.0034391930439604743,0.0032411220028011395,0.00330608614101974,0.0031857848007005433,0.003186065282928361,0.0036768777016850714,0.0037979746695306835,0.0038807334872829223,0.0036486901665835655,0.003622482109972139,0.0031834315264396285,0.00319590797618862,0.0032593653185938342,0.0034628730163890255,0.003397463874576431,0.0034525176000186316,0.003422692125382977,0.004398944283275938,0.003506511665410109,0.003405658853318678,0.0037858919998699633,0.004084332216198059
Food Accessibility without Delivery quick service,0.00040911478937554,0.00042136222339072117,0.0006410801776766482,0.0007252285793015729,0.00064281751347564,0.0005942175415616965,0.0005668831113093734,0.00055841881453324,0.0005513567414881958,0.0005413922610510223,0.0005145497902994861,0.0005639394853373428,0.0004913419120443392,0.0004939435613510054,0.0005127520050836377,0.0004410616037675544,0.00045157297778273165,0.00048525799803924625,0.0005418104794392601,0.0004129218626836066,0.00042533701613442786,0.00047099449153997324,0.0005189631993485872,0.00035462341628730317,0.00043203390263683525,0.00036892781983207084,0.0003840225517594239,0.00040592677270088725,0.00039077665016266607,0.0004114562089198296,0.0004147151562774764,0.0003508061797993815,0.0004115643842843669,0.0003937009790542768,0.00038372309275769946,0.000408515899406379,0.0003517932827368899,0.00041153267635580913,0.0003638633549659019,0.00035327936149874046,0.00038399586218854916,0.0004776198302404155,0.0005103152621691185,0.0005438631380779696,0.00046547607510153885,0.0005425792237444612,0.00044345698209540826,0.000435755257258065,0.0004449353039590917,0.0003475142929348231,0.00043792020034116077,0.0004590625836865059,0.0004782524417425866,0.00044599664162696254,0.0003977383779940805,0.00041871314668336405,0.000429759552559448,0.0004205489040342132,0.0004207301850481768,0.0009457671800075211,0.0010050690446038793,0.0009664950573403474,0.0009690975339916322,0.0009667290191065483,0.0009800676803114509,0.0009689481244703382,0.0009470990362540589,0.0009424798061645546,0.0009376798450586974,0.0009384308470605205,0.0009158218338984321,0.0009242582353438358,0.0008838027960889365,0.0009059030047125867,0.0009079501498630575,0.0008802287752897332,0.0008318195684520004,0.0007694996361065256,0.0008345305132019382,0.000812359869744497,0.0008665583871667336,0.0007788116967337354,0.0006778085463994498,0.0006023050753114484,0.0005332435887295711,0.0016558946755218771,0.0017566146900780026,0.0016013002255579698,0.001627811190615167,0.0013944553457448364,0.0014600627723803613,0.0015550738792332326,0.0014869765829792696,0.0012941705028933265,0.0012407751938347488,0.0012394875355695649,0.001244640207090472,0.0010878504427715371,0.0011190279500830965,0.001137391052755425,0.0010526668810354892,0.001073208258616767,0.001032288893121085,0.0009983109825792038,0.0009994143321126895,0.0010077538998552484,0.001909337927752269,0.0018454909626446706,0.0017461582632374124,0.0016424821329246986,0.0015649461919133127,0.0015927728658770945,0.0015790747349032535,0.0013671518763433534,0.0014085322709351433,0.0014276190157750746,0.0013920053009861782,0.0013792480053369384,0.0012212563326628293,0.0014514423582196172,0.0015872156074072206,0.0013364574810176286,0.0012884171100861579,0.0008818737553342829,0.0009192525826142205,0.0008645795400464656,0.0008260750900488948,0.0006861943015721839,0.0007896740728649814,0.0007278367088119806,0.0024062703610057915,0.0004365442002968078,0.0013740896291909795,0.0014940388046044135,0.001997018243791865
Food Accessibility with only Delivery quick service,0.0004129745777218015,0.00042824671253349447,0.0006626024103536887,0.0008149416039505199,0.0007098044334019707,0.0007212804056423568,0.0005063751658496985,0.0006438043226273594,0.0007006655688624337,0.0006416476305444663,0.0005867977503198426,0.000464483881319651,0.0005473392604379511,0.0005497486281005356,0.0004883060157227923,0.0005224577404748072,0.0005405819224658052,0.000587803412435398,0.0004731830334868927,0.0005312553536463532,0.0005475347822794917,0.0005731208386925289,0.0005467871229426503,0.0003930277672740675,0.000482056342794899,0.0003733443959972335,0.00038858384915528056,0.00042644278210874536,0.0004051552863075785,0.00044019027578591935,0.0005070563585111503,0.00036693255993059255,0.000511728320001614,0.0004194761693007829,0.00040497110899181217,0.00044025305662595917,0.00037368054526111603,0.0004477624690787141,0.0003943780092624969,0.0003838396049740603,0.00042698945506759164,0.00048654442502944127,0.0006564144039926343,0.0006875404864142197,0.0006786073242709558,0.0006370917688211761,0.00044724576273762136,0.0006114508535663455,0.0006492487552646011,0.0003444287222580457,0.0005789499058554389,0.000571572088320843,0.0005356614349727987,0.0005307444027362072,0.0004029568025045002,0.0004216803974796255,0.0005528521493029902,0.00045895525807652574,0.00046491939947420713,0.0009466188647558797,0.0008335965065358114,0.0009756428673416786,0.0009477838419223329,0.0007599485312747175,0.0007755776377792963,0.000949479038460835,0.0008540361510319582,0.0008144340119641376,0.0009465446354004395,0.0009556324179156032,0.0009178742752008399,0.0009133727070239835,0.0009564251699085803,0.0009700625751171789,0.000889128796039023,0.0009422601188450105,0.0008658820631819924,0.0007924665329661941,0.000862804043524978,0.000880466863372307,0.000860384566952255,0.0009026480318619791,0.0007770831880147007,0.0007216369506946438,0.0007602202823944281,0.0015520890764241738,0.0015817179799822666,0.001881479780062679,0.0018654616353573578,0.001509104786930189,0.0013086109982445987,0.0012886355197225157,0.0012738469857621589,0.001632600262469766,0.0014314011037287312,0.0013542624377584072,0.0012794446835848587,0.0011260475738907674,0.0011189830463348728,0.0011892046840384527,0.001051108379932924,0.0010642866061175834,0.0010205990655744411,0.001004045757029491,0.0008911357465318826,0.0008736157362371965,0.001715565821871019,0.0015638119195218602,0.001444127237892257,0.0014447069325974882,0.0013367085286751855,0.0012931896814893052,0.001310483128858581,0.00145145135652351,0.001635767514189391,0.0015731904256614982,0.001543279328080366,0.001339678966843563,0.0010946899731280576,0.0011432125186429105,0.001150182844058697,0.0011345470067983395,0.0010272859561928892,0.000999105949488953,0.0009699798215447788,0.0009849890159725142,0.0009284038990646004,0.0007527416997653307,0.000923316318824566,0.0008073511723007821,0.0026260286599471983,0.00047561480237091246,0.0013865723137291414,0.0016472605642323447,0.0020957358662502964
Diversity index without Delivery,0.42882738588001,0.44165094654920073,0.5644282383571236,0.5298469193074852,0.5196277792269482,0.528678429724805,0.5557009012056777,0.510101629454633,0.5432087684483691,0.5152055217572402,0.5033686485138786,0.5225523774680335,0.5079522938605339,0.5136898466979443,0.5117552319379047,0.49154838761820296,0.5009860046888979,0.5103135471563108,0.5226209177531363,0.48535846170891517,0.49409688423624254,0.50239356470142,0.5182024282448947,0.44961457397086585,0.46308940668990406,0.39791123162284686,0.3990772637445854,0.43188210319209347,0.4136749685988385,0.44507367407605564,0.4746431664831393,0.41953079796615095,0.46716579186729457,0.44018450504144957,0.44543649498697285,0.41577426661984884,0.44223962354887847,0.4326307421322839,0.4635987360014888,0.47784277007942644,0.4095628865176721,0.4694864638315763,0.4910182911217082,0.5022430547151736,0.47212730728603075,0.4987465358642022,0.4633155658314184,0.4558099828458517,0.45987988668508056,0.41908141377773983,0.45867322838295027,0.4756210691029707,0.4904845045431645,0.4603671799658646,0.4275380986204968,0.4334261668450698,0.4790215394104471,0.43210428237807247,0.362565838510483,0.4965858203376635,0.501809989927187,0.504063620643724,0.5019443212952357,0.497154453678169,0.4943246202177854,0.4924604044226217,0.4889716252140111,0.4928532507739428,0.4957849018927075,0.49453529365382876,0.4934397011194043,0.4904871617430011,0.50233882331641,0.49412878760565426,0.4910645494527435,0.4953959008248029,0.4863817095741346,0.4982696250785488,0.4956369932256074,0.49986961954475845,0.4918153162362683,0.5203272245875064,0.5019463916697127,0.5096311789594481,0.48119983034626174,0.6161338065290498,0.653072478947595,0.7153339408758106,0.7142561854221142,0.5428483761815693,0.5106625443360666,0.5352405177855836,0.509936001576348,0.5072755437593999,0.5025933310370072,0.5255152198951337,0.5556073712889713,0.5490723488267399,0.54868133229419,0.5433158143111096,0.5394925785203707,0.5402420396742285,0.5216927384038975,0.5154975140983182,0.5128472738014787,0.5086257317140657,0.8425465385134157,0.8314173765863766,0.7927299554259191,0.7070678875868514,0.6780017654880014,0.7054621565145682,0.7033578507416081,0.5955018639480152,0.6085587650178403,0.5527492172824373,0.5807151902484342,0.5133772393178128,0.5389483144034322,0.5080085472368379,0.49849664029940366,0.5258697266802751,0.5283546749063887,0.521212648708209,0.5081630948781936,0.5136961305847673,0.5457863264347289,0.5469145640712126,0.5422785579388786,0.544326407918934,0.765677351512839,0.3798541156675151,0.6004846433804194,0.6523566374016727,0.7163977106887135
Diversity index with only Delivery,0.5308842231584393,0.5296550738734241,0.4961148378812437,0.45043760484037165,0.4639609294547883,0.4935617499670609,0.5173026666333895,0.5059997686101948,0.5270618908429064,0.5031498452903598,0.5274596662196068,0.5739353053539187,0.49259562227377435,0.5306722561879151,0.5236094179604553,0.48195884048251525,0.4826308933142407,0.54316905243415,0.5676941816779881,0.48046291132309515,0.49586209534573134,0.5185537326706864,0.5161186183784163,0.3860051992897174,0.5298146844345516,0.5285799250859821,0.4928969259084256,0.5698226349413038,0.5425500570494519,0.5203715832557755,0.5428342261230028,0.47304097531500455,0.5116547417681092,0.5208097876025318,0.5320938309721689,0.47170075933858646,0.36085811036992416,0.4472124340437838,0.45756561163626097,0.39482194760677713,0.44378318853955523,0.46250339298542376,0.47703574189366904,0.48233891913945914,0.46292732780753054,0.47179506459565046,0.5020097190189289,0.5099028968234616,0.44071923318027517,0.42163371841762176,0.45141146861512244,0.47047665532616334,0.4771735647226621,0.4696267401364226,0.4921843314586729,0.5123947547076807,0.4687287697310445,0.5445016793947929,0.49364367377153373,0.4512120605190675,0.5573373982791746,0.4353783430572592,0.515993514368421,0.541439853419366,0.6445807817697379,0.585523282837064,0.6175260322669848,0.6160690378916189,0.5756811093917923,0.5057002398700026,0.5541610078371937,0.4393517460713758,0.5534896822347545,0.6103103814951336,0.48314297891348124,0.5678375084742924,0.45540091599750876,0.46057194418425806,0.4675898126755325,0.4695622762265806,0.463116848277935,0.4362238375554008,0.4461732362143216,0.4776002661455043,0.43743855058734954,0.7736242815358029,0.7424157430491608,0.8590506269702146,0.8749489471685625,0.6987672230601818,0.7355477560958149,0.7511984095211994,0.7178265920122824,0.7128667361516248,0.633285474817882,0.6048734752141945,0.5351306886943075,0.48915217340310935,0.4943183387029275,0.5193632371404522,0.4662429677341512,0.4712791879564262,0.4286968837359808,0.42904443461020414,0.4772127148655048,0.5177570363877713,0.8806074838666069,0.7721206332798095,0.7582480150172456,0.6003758575274671,0.7303037565354458,0.6009784683634873,0.6112146033839282,0.6160247898410931,0.6157381395484908,0.6174593920566032,0.6202257888971308,0.5332987690911609,0.5205504910074652,0.5288568292930844,0.5513517573530887,0.5211433143940284,0.487679293395249,0.47449608343970817,0.6073894614315816,0.5324221627723963,0.45159785151513765,0.48556779357720914,0.42514146531898866,0.44577934300470146,0.7739599329433224,0.5005545560495896,0.568529853891685,0.7069635379613959,0.7129303681166912
